Spindle Nose to Table,X Axis Travel,Max Thrust X,Bearing Lubrication,year:,Y Axis Travel,brand:,seller:,Z Axis Travel,location:,Max Tool Diameter,Spindle Taper,title,Rapid Rate X Axis,Table Size,C AXIS,Rapid Rate Y Axis,Max Tool Weight,Weight,Max Torque,Max Thrust Y,Spindle Speed,buy now:,Max Table Load,C Axis Travel,Cooling,Platter Diameter,Max Thrust Z,url,category:,payment:,description,Tool Changer,Spindle Motor,id:,Rapid Rate Z Axis,Max Cutting,Drive System,seller needs:,B AXIS,B Axis Travel,options:,model:,Max Pallet Load,Dimensions
,"30""",,,2023,"16""",HAAS,DaviB472,"16""",USA,,#40,HAAS TM1P CNC Mill,400 IPM,,,400 IPM,,"4,400 LBS",,,"6,000 RPM",,"1,000 LBS",,,,,https://cncmachines.com/haas-tm1p-2023/l/10679,Vertical Machining Center,$973/mo,N/A,10 ATC,7.50 HP,10679,400 IPM,,,"$40,000",,,"haas
Probe
Chip Conveyor
rigid tapping
1 GB memory
Chip Auger
20-PIECE, CT40 TOOLHOLDER KIT, TSC
Spindle Orientation
Wireless Intuitive Probing
12"" Double-Beam Dial Height Gauge, 0.001"" Graduation, ± 0.0015"" Accuracy
Lots of Tooling and Extras
2 sets of Pin gauges
gauge blocks
Haas Tooling Cart
",TM1P,,
,"600""",,,2023,"24""",FLEX CNC,LogaS488,,OH,,40 CT,FLEX CNC FB-50-24 CNC Mill,"1,000 IPM",,,200 IPM,,,,,"3,000 RPM",,,,,,,https://cncmachines.com/flex-cnc-fb-50-24-2023/l/10292,Horizontal Machining Center,"$5,496/mo",Read More,6 ATC,18 HP,10292,200 IPM,,,"$226,000",,,,FB-50-24,,
,"""",,,2022,"""",OKUMA,AlexB997,"""",NV,,,OKUMA GENOS M560V CNC Mill,IPM,,,IPM,,LBS,,,RPM,,LBS,,,,,https://cncmachines.com/okuma-genos-m560v-2022/l/12597,Vertical Machining Center,"$3,222/mo",N/A,ATC,HP,12597,IPM,,,"$132,500",,,"Probe
Chip Conveyor
Coolant Thru Spindle
4th Axis Rotary Table
",GENOS M560V,,
,"30""",,,2022,"20""",TRAK,JonaA812,"20""",NH,,CAT 40 or BT 40,TRAK TMC7 CNC Mill,400 IPM in toolroom ops/ 1000 IPM in production,"35.43"" X 19.69""",,400 IPM in toolroom ops/ 1000 IPM in production,,"8,360 lbs",,,12k,,"1,320 lbs",,,,,https://cncmachines.com/trak-tmc7-2022/l/12541,Vertical Machining Center,"$1,204/mo",N/A,16 tools .8 secs from station to station,15 hp/peak 10 hp/ continuous,12541,400 IPM in toolroom ops/ 1000 IPM in production,,,"$49,500",,,"ProtoTrak RMX
Chip Conveyor
Coolant Thru Spindle
Programmable Coolant
4th Axis Rotary Table
4th Axis Rotary in Pics Included
",TMC7,,"foot print is 97"" X 135"""
,"30""",,,2022,"18.11""",OKUMA,WillS337,"18.11""",NC,,CAT40 Big Plus,OKUMA GENOS M460VE CNC Mill,"1,575 IPM",,,"1,575 IPM",,"14,960 LBS",,,"15,000 RPM",,"1,540 LBS",,,,,https://cncmachines.com/okuma-genos-m460ve-2022/l/12534,Vertical Machining Center,"$5,313/mo","This 2022 OKUMA GENOS M460VE Vertical Machining Center is a versatile and robust machine, equipped with a variety of options to enhance your machining capabilities. Featuring a Probe, Chip Conveyor, Coolant Thru Spindle, and ...Read More",32 ATC,30 HP,12534,"1,259 IPM",,,"$218,500",,,"Probe
Chip Conveyor
Coolant Thru Spindle
4th Axis Rotary Table
OPS P300MA Control
Feed Axis Retract Function For Mills
4th Axis Interface - Generic (20.02 Standard Or Later)
4th Axis Interface Cutting Area Cables
Rotary Table - Nikken CNC260OSP3-M 4th Axis Table with Okuma Motor
Rotary Table - Mobex Custom Fixture, Changeover Pieces, Hydraulic Pump
Renishaw TRS-2 Tool Detect, Interface Only
Renishaw TRS-2 Tool Detect with Sapphire Protection Lens
Heavy Chip Flushing Countermeasures
Preparation for Mist Collection System
Chipblaster B30-70H w/Sludge Tank
LNS Fox WS2-700 Mist Collection
Conveyor, LNS Micro Hinge 250, Right Side Discharge
Auto Door, With Light Curtain And Whisker Switch
External Program Select C (Bcd) 4 Digit (Mill), Abx Eip
Robot Loader Interface Type D, (Mill), Abx Eip
Air Line Lockout / Tagout
Hydraulic Fixture Interface
",GENOS M460VE,,"111"" x 87"" x 108"""
,"24""",,,2022,"16""",HAAS,ChriL700,"16""",CA,,40,HAAS UMC500SS CNC Mill,"1,200 IPM","15.7"" x 15.7""",,"1,200 IPM",,"11,900 LBS",,,"12,000 RPM",,500 LBS,,,,,https://cncmachines.com/haas-umc500ss-2022/l/12385,Vertical Machining Center,"$5,095/mo","This 2022 HAAS UMC500SS Vertical Machining Center stands out for its versatile capabilities and comprehensive upgrades. Designed to meet diverse production needs, this machine combines advanced technology with ease of use.

Eq...Read More",70 ATC,30 HP,12385,"1,200 IPM",,,"$209,500",,,"Probe
Chip Conveyor
Coolant Thru Spindle
Programmable Coolant
5 Axis
12,000 RPM Spindle
70+1 Side-Mount High-Speed Tool Changer
Fully Integrated Pallet 10-Station Pallet Pool
High Speed Machining
Rotary scale feedback
Enclosure Exhaust System
Dynamic work offsets & tool center point control
WiFi Camera
32 GB Expanded Memory
95-gallon upgraded flood coolant system
Rigid tapping
Spindle orientation
Macros, coordinate rotation & scaling
Cabinet cooler
Calibration tool kit
Power-failure detection module
Power Required 220v 3ph 70a , Full load.
",UMC500SS,,"128"" x 101"" x 120"""
,"40.2""",,,2022,"21.7""",DOOSAN,MarkK923,"20.9""",USA,,BT50,DOOSAN MYNX5400-50 CNC Mill,,"47.2"" x 21.3""",,,,,,,"6,000 RPM (Belt type)",,2204.6 lb,,,,,https://cncmachines.com/doosan-mynx5400-50-2022/l/12347,Vertical Machining Center,"$2,385/mo","This 2022 DOOSAN MYNX5400-50 Vertical Machining Center offers outstanding capabilities for a range of machining tasks. Designed with precision in mind, it features a CNC Control system by FANUC i plus, ensuring smooth operati...Read More",24 ATC,AP22/8000_15/11 KW,12347,,,,"$98,070",,,"FANUC i plus
Chip Conveyor
Coolant Thru Spindle
4th Axis Rotary Table
",MYNX5400-50,,
,"18""",,,2022,"11""",TORMACH,TyleW960,"16""",TN,,30,TORMACH 1100MX CNC Mill,300 IPM,,,300 IPM,,,,,"10,000 RPM",,,,,,,https://cncmachines.com/tormach-1100mx-2022/l/12330,Vertical Machining Center,$912/mo,"This 2022 TORMACH 1100MX Vertical Machining Center is a feature-rich tool for those needing precise machining capabilities. With an impressive selection of options and upgrades, it offers enhanced functionality to meet variou...Read More",,2 HP,12330,300 IPM,,,"$37,500",,,"Probe
Programmable Coolant
4th Axis Rotary Table
",1100MX,,
,"18""",,,2022,"11""",TORMACH,TyleW960,"16""",TN,,30,TORMACH 1100MX CNC Mill,300 IPM,,,300 IPM,,,,,"10,000 RPM",,,,,,,https://cncmachines.com/tormach-1100mx-2022/l/12257,Vertical Machining Center,$912/mo,"This 2022 TORMACH 1100MX Vertical Machining Center is ready for your shop floor. Built to handle various machining tasks with ease, this machine offers a comprehensive set of options and upgrades.

Key upgrades include a Probe...Read More",,2 HP,12257,300 IPM,,,"$37,500",,,"Probe
Programmable Coolant
4th Axis Rotary Table
",1100MX,,
,"145""",,,2022,"87.5""",HAAS,ShanT177,"39.4""",AZ,,HSK63F,HAAS GM2 5X CNC Mill,472 IPM,,,"1,889 IPM",,,,,"20,000 RPM",,"6,000 LBS",,,,,https://cncmachines.com/haas-gm2-5x-2022/l/12247,Vertical Machining Center,Call For Financing,Read More,30 ATC,16 HP,12247,472 IPM,,,Make Offer,,,"Haas Next Gen CNC Control
Probe
5 Axis
",GM2 5X,,
,"60""",,,2022,"26""",HAAS,MarkP815,"25""",USA,,40,HAAS VF5-40XT CNC Mill,710 IPM,,,710 IPM,,"15,600 LBS",,,"8,100 RPM",,"4,000 LBS",,,,,https://cncmachines.com/haas-vf5-40xt-2022/l/12169,Vertical Machining Center,"$2,663/mo","This 2022 HAAS VF5-50XT comes as a solid and capable option for various machining needs. Ideal for manufacturers looking for a robust solution for their projects, this machine caters well to various metal and composite work a...Read More",20 ATC,30 HP,12169,710 IPM,,,"$109,500",,,"10k RPM Spindle Speed
Remote Jog Handle with Large Touchscreen & E-Stop Button
Automatic Air Gun
Probes
High Intensity Lighting
Chip Tray Filter Kit
Coolant Tank Oil Skimmer
High Pressure Flood Coolant
",VF5-40XT,,"168"" x 102"" x 113"""
